round,speaker_role,confidence,tool_query,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_negative_count,nrc_negative_density,nrc_fear_count,nrc_fear_density,nrc_positive_count,nrc_positive_density,nrc_anticipation_count,nrc_anticipation_density,nrc_trust_count,nrc_trust_density,nrc_anger_count,nrc_anger_density,nrc_sadness_count,nrc_sadness_density,emotion_anger,emotion_fear,emotion_sadness,emotion_joy,emotion_love,emotion_surprise,nrc_joy_count,nrc_joy_density,nrc_disgust_count,nrc_disgust_density,nrc_surprise_count,nrc_surprise_density
1,opponent,50.0,0.0,1.0,0.06,0.5599999999999999,0.0,0.0,42.0,321.0,0.0,0.0,0.0,0.0,0.0,6.0,0.14285714285714285,3.0,0.07142857142857142,1.0,0.023809523809523808,0.0,0.0,1.0,0.023809523809523808,3.0,0.07142857142857142,3.0,0.07142857142857142,0.0006429874920286238,0.0013145596021786332,0.9973536729812622,0.00018608792743179947,0.00020121636043768376,0.00030152674298733473,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,105.0,0.0,0.0,0.0,0.0,0.0,2.0,0.13333333333333333,2.0,0.13333333333333333,3.0,0.2,1.0,0.06666666666666667,1.0,0.06666666666666667,1.0,0.06666666666666667,1.0,0.06666666666666667,0.9678903818130493,0.010534236207604408,0.009483019821345806,0.009292460046708584,0.001654914696700871,0.0011450257152318954,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,48.0,0.0,4.0,0.5,0.5,0.0,0.0,32.0,239.0,0.0,0.0,0.0,0.0,0.0,3.0,0.09375,3.0,0.09375,1.0,0.03125,0.0,0.0,1.0,0.03125,1.0,0.03125,2.0,0.0625,0.0068895816802978516,0.03256078436970711,0.02367631159722805,0.918860673904419,0.0025710859335958958,0.015441596508026123,1.0,0.03125,0.0,0.0,0.0,0.0
2,proponent,52.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,123.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1111111111111111,3.0,0.16666666666666666,1.0,0.05555555555555555,0.0,0.0,1.0,0.05555555555555555,1.0,0.05555555555555555,1.0,0.05555555555555555,0.4383455812931061,0.5303794741630554,0.015585625544190407,0.005398675799369812,0.0027920017018914223,0.007498654071241617,0.0,0.0,0.0,0.0,0.0,0.0
3,opponent,50.0,0.0,7.0,0.3,0.45,0.0,0.0,32.0,247.0,0.0,1.0,0.0,0.03125,-1.0,4.0,0.125,3.0,0.09375,2.0,0.0625,0.0,0.0,2.0,0.0625,0.0,0.0,0.0,0.0,0.656941831111908,0.07825656235218048,0.20573069155216217,0.05358978360891342,0.0030511426739394665,0.0024299847427755594,0.0,0.0,1.0,0.03125,0.0,0.0
3,proponent,49.0,0.0,5.0,0.2625,0.3,0.0,0.0,31.0,200.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06451612903225806,2.0,0.06451612903225806,1.0,0.03225806451612903,2.0,0.06451612903225806,3.0,0.0967741935483871,1.0,0.03225806451612903,2.0,0.06451612903225806,0.012762878090143204,0.0931340754032135,0.0983070433139801,0.7774192094802856,0.004399136174470186,0.013977699913084507,0.0,0.0,0.0,0.0,0.0,0.0
4,opponent,52.0,0.0,10.0,0.0,0.45,0.0,0.0,31.0,232.0,0.0,1.0,0.0,0.03225806451612903,-1.0,2.0,0.06451612903225806,3.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17103874683380127,0.5629478693008423,0.02140558511018753,0.22419138252735138,0.003289977088570595,0.01712646149098873,0.0,0.0,0.0,0.0,0.0,0.0
4,proponent,46.0,0.0,8.0,-0.04007936507936508,0.5234126984126984,0.0,0.0,47.0,306.0,0.0,0.0,0.0,0.0,0.0,3.0,0.06382978723404255,3.0,0.06382978723404255,3.0,0.06382978723404255,1.0,0.02127659574468085,4.0,0.0851063829787234,2.0,0.0425531914893617,1.0,0.02127659574468085,0.820284366607666,0.10553408414125443,0.05363297834992409,0.012559066526591778,0.005149084143340588,0.0028404584154486656,1.0,0.02127659574468085,1.0,0.02127659574468085,1.0,0.02127659574468085
5,opponent,54.0,0.0,13.0,0.2,0.25,0.0,0.0,26.0,235.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07692307692307693,2.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07692307692307693,0.0,0.0,0.1383838802576065,0.19955261051654816,0.07289697974920273,0.5774901509284973,0.004596746526658535,0.0070795658975839615,0.0,0.0,0.0,0.0,0.0,0.0
5,proponent,43.0,0.0,11.0,0.19375,0.59375,0.0,0.0,37.0,256.0,0.0,0.0,0.0,0.0,0.0,3.0,0.08108108108108109,3.0,0.08108108108108109,1.0,0.02702702702702703,0.0,0.0,2.0,0.05405405405405406,1.0,0.02702702702702703,1.0,0.02702702702702703,0.1740909069776535,0.7534032464027405,0.028023889288306236,0.03137350082397461,0.0032043156679719687,0.009904110804200172,0.0,0.0,0.0,0.0,0.0,0.0
